# packages in environment at /opt/miniconda:
#
# Name                    Version                   Build  Channel
conda-package-streaming   0.9.0           py310h06a4308_0  
contourpy                 1.2.1           py310hd41b1e2_0    conda-forge
cryptography              42.0.2          py310hdda0065_0  
cubinlinker               0.3.0           py310hfdf336d_1    rapidsai
cucim                     24.02.00        cuda11_py310_240212_g7d08ffc_0    rapidsai
cuda-cccl                 12.4.127                      0    nvidia
cuda-cudart               12.4.127                      0    nvidia
cuda-cudart-dev           12.4.127                      0    nvidia
cuda-nvrtc                12.4.127                      0    nvidia
cuda-profiler-api         11.8.86                       0    nvidia
cuda-python               11.8.3          py310h1b7760a_1    conda-forge
cuda-version              11.4                 hfb901f2_3    conda-forge
cudatoolkit               11.4.3              h39f8164_13    conda-forge
cudf                      24.02.02        cuda11_py310_240227_gdd34fdbe35_0    rapidsai
cudf_kafka                24.02.02        cuda11_py310_240227_gdd34fdbe35_0    rapidsai
cudnn                     8.9.7.29             hbc23b4c_3    conda-forge
cugraph                   24.02.00        cuda11_py310_240213_g3e5f47d0f_0    rapidsai
cuml                      24.02.00        cuda11_py310_240213_geb50e481d_0    rapidsai
cuproj                    24.02.00        cuda11_py310_240213_ga881c4a5_0    rapidsai
cupy                      13.1.0          py310h189a05f_3    conda-forge
cupy-core                 13.1.0          py310h71e26cc_3    conda-forge
cusparselt                0.4.0.7              hd5ab71f_3    conda-forge
cuspatial                 24.02.00        cuda11_py310_240213_ga881c4a5_0    rapidsai
custreamz                 24.02.02        cuda11_py310_240227_gdd34fdbe35_0    rapidsai
cutensor                  2.0.1.2              hcdd5f01_0    conda-forge
cuxfilter                 24.02.00        cuda11_py310_240213_g4a431d7_0    rapidsai
cycler                    0.12.1             pyhd8ed1ab_0    conda-forge
cyrus-sasl                2.1.27               h54b06d7_7    conda-forge
cytoolz                   0.12.3          py310h2372a71_0    conda-forge
dask                      2024.1.1           pyhd8ed1ab_0    conda-forge
dask-core                 2024.1.1           pyhd8ed1ab_0    conda-forge
dask-cuda                 24.02.00        py310_240212_g96bedbc_0    rapidsai
dask-cudf                 24.02.02        cuda11_py310_240227_gdd34fdbe35_0    rapidsai
datashader                0.16.1             pyhd8ed1ab_0    conda-forge
debugpy                   1.8.1           py310hc6cd4ac_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
distributed               2024.1.1           pyhd8ed1ab_0    conda-forge
distro                    1.8.0           py310h06a4308_0  
dlpack                    0.5                  h9c3ff4c_0    conda-forge
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
exceptiongroup            1.2.0              pyhd8ed1ab_2    conda-forge
executing                 2.0.1              pyhd8ed1ab_0    conda-forge
expat                     2.6.2                h59595ed_0    conda-forge
fa2                       0.3.5           py310h5764c6d_2    conda-forge
fastrlock                 0.8.2           py310hc6cd4ac_2    conda-forge
fiona                     1.9.5           py310h0a1e91f_2    conda-forge
fmt                       10.2.1               h00ab1b0_0    conda-forge
folium                    0.16.0             pyhd8ed1ab_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_1    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.51.0          py310h2372a71_0    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_0    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
freexl                    2.0.0                h743c826_0    conda-forge
frozenlist                1.4.1           py310h2372a71_0    conda-forge
fsspec                    2024.3.1           pyhca7485f_0    conda-forge
gdal                      3.8.1           py310haaa150b_3    conda-forge
geopandas                 0.14.3             pyhd8ed1ab_0    conda-forge
geopandas-base            0.14.3             pyha770c72_0    conda-forge
geos                      3.12.1               h59595ed_0    conda-forge
geotiff                   1.7.1               hf074850_14    conda-forge
gettext                   0.22.5               h59595ed_2    conda-forge
gettext-tools             0.22.5               h59595ed_2    conda-forge
gflags                    2.2.2             he1b5a44_1004    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
glog                      0.7.0                hed5481d_0    conda-forge
glpk                      5.0                  h445213a_0    conda-forge
gmock                     1.14.0               ha770c72_1    conda-forge
gmp                       6.3.0                h59595ed_1    conda-forge
gsl                       2.6                  he838d99_2    conda-forge
gtest                     1.14.0               h00ab1b0_1    conda-forge
h11                       0.14.0             pyhd8ed1ab_0    conda-forge
h2                        4.1.0              pyhd8ed1ab_0    conda-forge
hdf4                      4.2.15               h2a13503_7    conda-forge
hdf5                      1.14.3          nompi_h4f84152_100    conda-forge
holoviews                 1.18.3             pyhd8ed1ab_0    conda-forge
hpack                     4.0.0              pyh9f0ad1d_0    conda-forge
httpcore                  1.0.5              pyhd8ed1ab_0    conda-forge
httpx                     0.27.0             pyhd8ed1ab_0    conda-forge
hyperframe                6.0.1              pyhd8ed1ab_0    conda-forge
icu                       73.2                 h59595ed_0    conda-forge
idna                      3.4             py310h06a4308_0  
igraph                    0.10.11              h153f77b_0    conda-forge
imagecodecs-lite          2019.12.3       py310h1f7b6fc_7    conda-forge
imageio                   2.34.1             pyh4b66e23_0    conda-forge
importlib-metadata        7.1.0              pyha770c72_0    conda-forge
importlib_metadata        7.1.0                hd8ed1ab_0    conda-forge
importlib_resources       6.4.0              pyhd8ed1ab_0    conda-forge
ipykernel                 6.29.3             pyhd33586a_0    conda-forge
ipython                   8.22.2             pyh707e725_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_0    conda-forge
jbig                      2.1               h7f98852_2003    conda-forge
jedi                      0.19.1             pyhd8ed1ab_0    conda-forge
jinja2                    3.1.3              pyhd8ed1ab_0    conda-forge
joblib                    1.4.0              pyhd8ed1ab_0    conda-forge
json-c                    0.17                 h7ab15ed_0    conda-forge
json5                     0.9.25             pyhd8ed1ab_0    conda-forge
jsonpatch                 1.32               pyhd3eb1b0_0  
jsonpointer               2.1                pyhd3eb1b0_0  
jsonschema                4.21.1             pyhd8ed1ab_0    conda-forge
jsonschema-specifications 2023.12.1          pyhd8ed1ab_0    conda-forge
jsonschema-with-format-nongpl 4.21.1             pyhd8ed1ab_0    conda-forge
jupyter-lsp               2.2.5              pyhd8ed1ab_0    conda-forge
jupyter-server-proxy      4.1.2              pyhd8ed1ab_0    conda-forge
jupyter_client            8.6.1              pyhd8ed1ab_0    conda-forge
jupyter_core              5.7.2           py310hff52083_0    conda-forge
jupyter_events            0.10.0             pyhd8ed1ab_0    conda-forge
jupyter_server            2.14.0             pyhd8ed1ab_0    conda-forge
jupyter_server_terminals  0.5.3              pyhd8ed1ab_0    conda-forge
jupyterlab                4.1.5              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_1    conda-forge
jupyterlab_server         2.27.1             pyhd8ed1ab_0    conda-forge
kealib                    1.5.3                h2f55d51_0    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
kiwisolver                1.4.5           py310hd41b1e2_1    conda-forge
krb5                      1.21.2               h659d440_0    conda-forge
lazy_loader               0.4                pyhd8ed1ab_0    conda-forge
lcms2                     2.16                 hb7c19ff_0    conda-forge
ld_impl_linux-64          2.38                 h1181459_1  
leidenalg                 0.10.2          py310hc6cd4ac_0    conda-forge
lerc                      4.0.0                h27087fc_0    conda-forge
libabseil                 20240116.1      cxx17_h59595ed_2    conda-forge
libaec                    1.1.3                h59595ed_0    conda-forge
libarchive                3.7.2                h2aa1ff5_1    conda-forge
libarrow                  14.0.2          h07fc4ce_18_cpu    conda-forge
libarrow-acero            14.0.2          hbabe93e_18_cpu    conda-forge
libarrow-dataset          14.0.2          hbabe93e_18_cpu    conda-forge
libarrow-flight           14.0.2          hc4f8a93_18_cpu    conda-forge
libarrow-flight-sql       14.0.2          he4f5ca8_18_cpu    conda-forge
libarrow-gandiva          14.0.2          hc1954e9_18_cpu    conda-forge
libarrow-substrait        14.0.2          he4f5ca8_18_cpu    conda-forge
libasprintf               0.22.5               h661eb56_2    conda-forge
libasprintf-devel         0.22.5               h661eb56_2    conda-forge
libblas                   3.9.0           22_linux64_openblas    conda-forge
libboost-headers          1.84.0               ha770c72_2    conda-forge
libbrotlicommon           1.1.0                hd590300_1    conda-forge
libbrotlidec              1.1.0                hd590300_1    conda-forge
libbrotlienc              1.1.0                hd590300_1    conda-forge
libcblas                  3.9.0           22_linux64_openblas    conda-forge
libcrc32c                 1.1.2                h9c3ff4c_0    conda-forge
libcublas                 11.11.3.6                     0    nvidia
libcublas-dev             11.11.3.6                     0    nvidia
libcucim                  24.02.00        cuda11_240212_g7d08ffc_0    rapidsai
libcudf                   24.02.02        cuda11_240227_gdd34fdbe35_0    rapidsai
libcudf_kafka             24.02.02        cuda11_240227_gdd34fdbe35_0    rapidsai
libcufft                  10.9.0.58                     0    nvidia
libcufile                 1.4.0.31                      0    nvidia
libcufile-dev             1.4.0.31                      0    nvidia
libcugraph                24.02.00        cuda11_240213_g3e5f47d0f_0    rapidsai
libcugraph_etl            24.02.00        cuda11_240213_g3e5f47d0f_0    rapidsai
libcugraphops             24.02.01        cuda11_240222_g69c1ddc8_0    nvidia
libcuml                   24.02.00        cuda11_240213_geb50e481d_0    rapidsai
libcumlprims              24.02.00        cuda11_240213_g0e32024_0    nvidia
libcurand                 10.3.0.86                     0    nvidia
libcurand-dev             10.3.0.86                     0    nvidia
libcurl                   8.7.1                hca28451_0    conda-forge
libcusolver               11.4.1.48                     0    nvidia
libcusolver-dev           11.4.1.48                     0    nvidia
libcusparse               11.7.5.86                     0    nvidia
libcusparse-dev           11.7.5.86                     0    nvidia
libcuspatial              24.02.00        cuda11_240213_ga881c4a5_0    rapidsai
libdeflate                1.19                 hd590300_0    conda-forge
libedit                   3.1.20230828         h5eee18b_0  
libev                     4.33                 h7f8727e_1  
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.6.2                h59595ed_0    conda-forge
libffi                    3.4.4                h6a678d5_0  
libgcc-ng                 13.2.0               hc881cc4_6    conda-forge
libgdal                   3.8.1                h4b8bffa_3    conda-forge
libgettextpo              0.22.5               h59595ed_2    conda-forge
libgettextpo-devel        0.22.5               h59595ed_2    conda-forge
libgfortran-ng            13.2.0               h69a702a_6    conda-forge
libgfortran5              13.2.0               h43f5ff8_6    conda-forge
libglib                   2.78.4               h783c2da_0    conda-forge
libgomp                   13.2.0               hc881cc4_6    conda-forge
libgoogle-cloud           2.23.0               h9be4e54_1    conda-forge
libgoogle-cloud-storage   2.23.0               hc7a4891_1    conda-forge
libgrpc                   1.62.2               h15f2491_0    conda-forge
libiconv                  1.17                 hd590300_2    conda-forge
libjpeg-turbo             3.0.0                hd590300_1    conda-forge
libkml                    1.3.0             h01aab08_1018    conda-forge
libkvikio                 24.02.01        cuda11_240226_gfe01c15_0    rapidsai
liblapack                 3.9.0           22_linux64_openblas    conda-forge
libleidenalg              0.11.1               h00ab1b0_0    conda-forge
libllvm14                 14.0.6               hcd5def8_4    conda-forge
libllvm15                 15.0.7               hb3ce162_4    conda-forge
libmamba                  1.5.7                had39da4_0    conda-forge
libmambapy                1.5.7           py310h39ff949_0    conda-forge
libnetcdf                 4.9.2           nompi_h9612171_113    conda-forge
libnghttp2                1.58.0               h47da74e_1    conda-forge
libnl                     3.9.0                hd590300_0    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libntlm                   1.4               h7f98852_1002    conda-forge
libnvjpeg                 12.3.1.117                    0    nvidia
libopenblas               0.3.27          pthreads_h413a1c8_0    conda-forge
libparquet                14.0.2          hacf5a1f_18_cpu    conda-forge
libpng                    1.6.43               h2797004_0    conda-forge
libpq                     16.2                 h33b98f1_1    conda-forge
libprotobuf               4.25.3               h08a7969_0    conda-forge
libraft                   24.02.00        cuda11_240212_g698d6c7b_0    rapidsai
libraft-headers           24.02.00        cuda11_240212_g698d6c7b_0    rapidsai
libraft-headers-only      24.02.00        cuda11_240212_g698d6c7b_0    rapidsai
librdkafka                1.9.2                ha5a0de0_2    conda-forge
libre2-11                 2023.09.01           h5a48ba9_2    conda-forge
librmm                    24.02.00        cuda11_240212_g09b406c1_0    rapidsai
librttopo                 1.1.0               h8917695_15    conda-forge
libsodium                 1.0.18               h36c2ea0_1    conda-forge
libsolv                   0.7.24               he621ea3_0  
libspatialindex           1.9.3                h9c3ff4c_4    conda-forge
libspatialite             5.1.0                h72606ae_3    conda-forge
libsqlite                 3.45.3               h2797004_0    conda-forge
libssh2                   1.11.0               h0841786_0    conda-forge
libstdcxx-ng              13.2.0               h95c4c6d_6    conda-forge
libthrift                 0.19.0               hb90f79a_1    conda-forge
libtiff                   4.6.0                ha9c0a0a_2    conda-forge
libutf8proc               2.8.0                h166bdaf_0    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libuv                     1.48.0               hd590300_0    conda-forge
libwebp                   1.3.2                h658648e_1    conda-forge
libwebp-base              1.3.2                hd590300_1    conda-forge
libxcb                    1.15                 h0b41bf4_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxgboost                2.0.3           rapidsai_h3ea025e_2    rapidsai
libxml2                   2.12.6               h232c23b_2    conda-forge
libzip                    1.10.1               h2629f0a_3    conda-forge
libzlib                   1.2.13               hd590300_5    conda-forge
linkify-it-py             2.0.3              pyhd8ed1ab_0    conda-forge
llvmlite                  0.42.0          py310h1b8f574_1    conda-forge
locket                    1.0.0              pyhd8ed1ab_0    conda-forge
louvain                   0.8.2           py310hc6cd4ac_0    conda-forge
lz4                       4.3.3           py310h350c4a5_0    conda-forge
lz4-c                     1.9.4                h6a678d5_0  
lzo                       2.10              hd590300_1001    conda-forge
mapclassify               2.6.1              pyhd8ed1ab_0    conda-forge
markdown                  3.6                pyhd8ed1ab_0    conda-forge
markdown-it-py            3.0.0              pyhd8ed1ab_0    conda-forge
markupsafe                2.1.5           py310h2372a71_0    conda-forge
matplotlib-base           3.8.4           py310h62c0568_0    conda-forge
matplotlib-inline         0.1.7              pyhd8ed1ab_0    conda-forge
mdit-py-plugins           0.4.0              pyhd8ed1ab_0    conda-forge
mdurl                     0.1.2              pyhd8ed1ab_0    conda-forge
menuinst                  2.0.2           py310h06a4308_0  
minizip                   4.0.5                h0ab5242_0    conda-forge
mistune                   3.0.2              pyhd8ed1ab_0    conda-forge
msgpack-python            1.0.7           py310hd41b1e2_0    conda-forge
multidict                 6.0.5           py310h2372a71_0    conda-forge
multipledispatch          0.6.0                      py_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
nbclient                  0.10.0             pyhd8ed1ab_0    conda-forge
nbconvert-core            7.16.3             pyhd8ed1ab_1    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_0    conda-forge
nccl                      2.21.5.1             h0800d71_0    conda-forge
ncurses                   6.4                  h6a678d5_0  
nest-asyncio              1.6.0              pyhd8ed1ab_0    conda-forge
networkx                  3.3                pyhd8ed1ab_1    conda-forge
nodejs                    20.12.2              hb753e55_0    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_0    conda-forge
nspr                      4.35                 h27087fc_0    conda-forge
nss                       3.98                 h1d7d5a4_0    conda-forge
numba                     0.59.1          py310h7dc5dd1_0    conda-forge
numpy                     1.24.4          py310ha4c1d20_0    conda-forge
nvcomp                    3.0.6                h56904bc_0    conda-forge
nvtx                      0.2.10          py310h2372a71_0    conda-forge
openjpeg                  2.5.2                h488ebb8_0    conda-forge
openssl                   3.2.1                hd590300_1    conda-forge
orc                       2.0.0                h17fec99_1    conda-forge
overrides                 7.7.0              pyhd8ed1ab_0    conda-forge
packaging                 23.1            py310h06a4308_0  
pandas                    1.5.3           py310h9b08913_1    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
panel                     1.4.2              pyhd8ed1ab_0    conda-forge
param                     2.1.0              pyhca7485f_0    conda-forge
parso                     0.8.4              pyhd8ed1ab_0    conda-forge
partd                     1.4.1              pyhd8ed1ab_0    conda-forge
pcre2                     10.42                hebb0a14_0  
pexpect                   4.9.0              pyhd8ed1ab_0    conda-forge
pickleshare               0.7.5                   py_1003    conda-forge
pillow                    10.3.0          py310hf73ecf8_0    conda-forge
pip                       23.3.1          py310h06a4308_0  
pixman                    0.43.2               h59595ed_0    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_1    conda-forge
platformdirs              3.10.0          py310h06a4308_0  
pluggy                    1.0.0           py310h06a4308_1  
poppler                   23.12.0              h590f24d_0    conda-forge
poppler-data              0.4.12               hd8ed1ab_0    conda-forge
postgresql                16.2                 h82ecc9d_1    conda-forge
proj                      9.3.0                h1d62c97_2    conda-forge
prometheus_client         0.20.0             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.42             pyha770c72_0    conda-forge
protobuf                  4.25.3          py310ha8c1f0e_0    conda-forge
psutil                    5.9.8           py310h2372a71_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
ptxcompiler               0.8.1           py310h70a93da_2    conda-forge
ptyprocess                0.7.0              pyhd3deb0d_0    conda-forge
pure_eval                 0.2.2              pyhd8ed1ab_0    conda-forge
py-xgboost                2.0.3           rapidsai_pyhf96fb25_2    rapidsai
pyarrow                   14.0.2          py310hd207890_18_cpu    conda-forge
pyarrow-hotfix            0.6                pyhd8ed1ab_0    conda-forge
pybind11-abi              4                    hd3eb1b0_1  
pycosat                   0.6.6           py310h5eee18b_0  
pycparser                 2.21               pyhd3eb1b0_0  
pyct                      0.5.0              pyhd8ed1ab_0    conda-forge
pyee                      8.1.0              pyhd8ed1ab_0    conda-forge
pygments                  2.17.2             pyhd8ed1ab_0    conda-forge
pylibcugraph              24.02.00        cuda11_py310_240213_g3e5f47d0f_0    rapidsai
pylibraft                 24.02.00        cuda11_py310_240212_g698d6c7b_0    rapidsai
pynvml                    11.4.1             pyhd8ed1ab_0    conda-forge
pyparsing                 3.1.2              pyhd8ed1ab_0    conda-forge
pyppeteer                 1.0.2              pyhd8ed1ab_0    conda-forge
pyproj                    3.6.1           py310h32c33b7_4    conda-forge
pysocks                   1.7.1           py310h06a4308_0  
python                    3.10.13         hd12c33a_1_cpython    conda-forge
python-confluent-kafka    1.9.2           py310h5764c6d_2    conda-forge
python-dateutil           2.9.0              pyhd8ed1ab_0    conda-forge
python-fastjsonschema     2.19.1             pyhd8ed1ab_0    conda-forge
python-igraph             0.11.4          py310hd7113ba_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python_abi                3.10                    2_cp310    conda-forge
pytz                      2024.1             pyhd8ed1ab_0    conda-forge
pyviz_comms               3.0.1              pyhd8ed1ab_0    conda-forge
pywavelets                1.4.1           py310h1f7b6fc_1    conda-forge
pyyaml                    6.0.1           py310h2372a71_1    conda-forge
pyzmq                     26.0.2          py310h6883aea_0    conda-forge
raft-dask                 24.02.00        cuda11_py310_240212_g698d6c7b_0    rapidsai
rapids                    24.02.00        cuda11_py310_240213_g77edc05_0    rapidsai
rapids-dask-dependency    24.02.00                      0    rapidsai
rapids-xgboost            24.02.00        cuda11_py310_240213_g77edc05_0    rapidsai
rdma-core                 51.0                 hd3aeb46_0    conda-forge
re2                       2023.09.01           h7f4b329_2    conda-forge
readline                  8.2                  h5eee18b_0  
referencing               0.35.0             pyhd8ed1ab_0    conda-forge
reproc                    14.2.4               h295c915_1  
reproc-cpp                14.2.4               h295c915_1  
requests                  2.31.0          py310h06a4308_1  
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rich                      13.7.1             pyhd8ed1ab_0    conda-forge
rmm                       24.02.00        cuda11_py310_240212_g09b406c1_0    rapidsai
rpds-py                   0.18.0          py310hcb5633a_0    conda-forge
rtree                     1.2.0           py310hbdcdc62_0    conda-forge
ruamel.yaml               0.17.21         py310h5eee18b_0  
ruamel.yaml.clib          0.2.6           py310h5eee18b_1  
s2n                       1.4.12               h06160fa_0    conda-forge
scikit-image              0.20.0          py310h9b08913_1    conda-forge
scikit-learn              1.4.2           py310h1fdf081_0    conda-forge
scipy                     1.13.0          py310hb13e2d6_0    conda-forge
send2trash                1.8.3              pyh0d859eb_0    conda-forge
setuptools                68.2.2          py310h06a4308_0  
shapely                   2.0.4           py310hc3e127f_0    conda-forge
simpervisor               1.0.0              pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
snappy                    1.2.0                hdb0a2a9_1    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_0    conda-forge
sortedcontainers          2.4.0              pyhd8ed1ab_0    conda-forge
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
spdlog                    1.12.0               hd2e6256_2    conda-forge
sqlite                    3.41.2               h5eee18b_0  
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
streamz                   0.6.4              pyh6c4a22f_0    conda-forge
tblib                     3.0.0              pyhd8ed1ab_0    conda-forge
terminado                 0.18.1             pyh0d859eb_0    conda-forge
texttable                 1.7.0              pyhd8ed1ab_0    conda-forge
threadpoolctl             3.4.0              pyhc1e730c_0    conda-forge
tifffile                  2020.6.3                   py_0    conda-forge
tiledb                    2.18.2               h99f50a1_1    conda-forge
tinycss2                  1.3.0              pyhd8ed1ab_0    conda-forge
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
toolz                     0.12.1             pyhd8ed1ab_0    conda-forge
tornado                   6.4             py310h2372a71_0    conda-forge
tqdm                      4.65.0          py310h2f386ee_0  
traitlets                 5.14.3             pyhd8ed1ab_0    conda-forge
treelite                  4.0.0           py310h4a6579d_0    conda-forge
truststore                0.8.0           py310h06a4308_0  
types-python-dateutil     2.9.0.20240316     pyhd8ed1ab_0    conda-forge
typing-extensions         4.11.0               hd8ed1ab_0    conda-forge
typing_extensions         4.11.0             pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
tzcode                    2024a                h3f72095_0    conda-forge
tzdata                    2023d                h04d1e81_0  
uc-micro-py               1.0.3              pyhd8ed1ab_0    conda-forge
ucx                       1.15.0               ha691c75_8    conda-forge
ucx-proc                  1.0.0                       gpu    rapidsai
ucx-py                    0.36.00         py310_240212_g1266b48_0    rapidsai
unicodedata2              15.1.0          py310h2372a71_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
uriparser                 0.9.7                h59595ed_1    conda-forge
urllib3                   1.26.18            pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.8.0              pyhd8ed1ab_0    conda-forge
websockets                10.4            py310h5764c6d_1    conda-forge
wheel                     0.41.2          py310h06a4308_0  
xarray                    2024.3.0           pyhd8ed1ab_0    conda-forge
xerces-c                  3.2.5                hac6953d_0    conda-forge
xgboost                   2.0.3           rapidsai_pyh8da2078_2    rapidsai
xlsxwriter                3.1.9              pyhd8ed1ab_0    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.1.1                hd590300_0    conda-forge
xorg-libsm                1.2.4                h7391055_0    conda-forge
xorg-libx11               1.8.9                h8ee46fc_0    conda-forge
xorg-libxau               1.0.11               hd590300_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxrender           0.9.11               hd590300_0    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xyzservices               2024.4.0           pyhd8ed1ab_0    conda-forge
xz                        5.4.5                h5eee18b_0  
yaml                      0.2.5                h7f98852_2    conda-forge
yaml-cpp                  0.8.0                h6a678d5_0  
yarl                      1.9.4           py310h2372a71_0    conda-forge
zeromq                    4.3.5                h59595ed_1    conda-forge
zict                      3.0.0              pyhd8ed1ab_0    conda-forge
zipp                      3.17.0             pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               hd590300_5    conda-forge
zstandard                 0.19.0          py310h5eee18b_0  
